2020-04-15 02:50:17.662471	https://www.encodeproject.org/report/?type=File&file_format=bigBed&assembly=GRCh38&assay_term_name=ChIP-seq&status=released&lab.title=ENCODE+Processing+Pipeline&output_type=replicated+peaks&output_type=optimal+IDR+thresholded+peaks&field=%40id&field=dataset&field=biological_replicates&field=biosample_ontology.term_name&field=target.label&field=cloud_metadata&field=biosample_ontology&limit=all
ID	Dataset	Biological replicates	Biosample name	Target label	Cloud metadata	Biosample ontology
/files/ENCFF400VVQ/	/experiments/ENCSR000BPJ/	1,2	K562	CTCF	{'md5sum_base64': '19MOIZjX+tjfKbaB/Q3AXQ==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/02/9be2efa6-71e2-474e-9662-eb95d40112a3/ENCFF400VVQ.bigBed', 'file_size': 1398588}	/biosample-types/cell_line_EFO_0002067/
/files/ENCFF533ROM/	/experiments/ENCSR237TFX/	1,2	HEK293T	CTBP1	{'md5sum_base64': 'kM6ui+7CUf0iHca7Y+Sdug==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/02/9e11d1f4-3109-4811-83ee-aee2c7a706bf/ENCFF533ROM.bigBed', 'file_size': 361167}	/biosample-types/cell_line_EFO_0001184/
/files/ENCFF362HAC/	/experiments/ENCSR325RLL/	1,2	K562	POLR2B	{'md5sum_base64': 'UlxsVBr9YRmY9ASQJBUFpA==', 'url': 'https://encode-public.s3.amazonaws.com/2016/10/24/29e003d7-2bf4-4c43-a906-39f7c874641d/ENCFF362HAC.bigBed', 'file_size': 927749}	/biosample-types/cell_line_EFO_0002067/
/files/ENCFF972SVU/	/experiments/ENCSR859BMR/	1,2	HEK293	KLF1	{'md5sum_base64': '1KhdYyqMyomVaMySpoFLKA==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/01/22b0a3a8-e155-4d48-9340-483b2ce5ead8/ENCFF972SVU.bigBed', 'file_size': 1272258}	/biosample-types/cell_line_EFO_0001182/
/files/ENCFF516FIG/	/experiments/ENCSR770PQN/	1,2	HEK293	BCL11B	{'md5sum_base64': 'AIufOi7mw9ffGTPMGtuvQg==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/01/92098940-fa0b-499b-b750-fd6457161868/ENCFF516FIG.bigBed', 'file_size': 514058}	/biosample-types/cell_line_EFO_0001182/
/files/ENCFF026CLK/	/experiments/ENCSR849YFO/	1,2	bipolar neuron	H3K4me3	{'md5sum_base64': 'VsJtWLbm1AQXWxVEqQcWTQ==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/01/12ed4584-083e-4883-a750-297d7ef94a34/ENCFF026CLK.bigBed', 'file_size': 4460499}	/biosample-types/in_vitro_differentiated_cells_CL_0000103/
/files/ENCFF357WXG/	/experiments/ENCSR769JRS/	1,2	HEK293	AEBP2	{'md5sum_base64': 'JlxQ5bQo+cyhAx8uuRsfNw==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/01/3426b4c0-e63f-4594-bedc-0d6410dfca8a/ENCFF357WXG.bigBed', 'file_size': 133165}	/biosample-types/cell_line_EFO_0001182/
/files/ENCFF514ZIY/	/experiments/ENCSR769SGQ/	1,2	CD4-positive, alpha-beta T cell	H3K27me3	{'md5sum_base64': 'LsqSa4wZGMQ8Ozr3AoCf2g==', 'url': 'https://encode-public.s3.amazonaws.com/2018/01/20/4d21ab5a-d738-42a7-b3ca-b3f020697c6a/ENCFF514ZIY.bigBed', 'file_size': 2596420}	/biosample-types/primary_cell_CL_0000624/
/files/ENCFF586WRZ/	/experiments/ENCSR000BGM/	1,2	HepG2	USF1	{'md5sum_base64': 'sfXZuBGrwjVSjjuhBMSiow==', 'url': 'https://encode-public.s3.amazonaws.com/2017/07/08/3ed8c107-6ff9-4f98-9f81-52f1638ecbb4/ENCFF586WRZ.bigBed', 'file_size': 777398}	/biosample-types/cell_line_EFO_0001187/
/files/ENCFF106JKC/	/experiments/ENCSR165LOF/	1,2	Loucy	H3K4me2	{'md5sum_base64': '1aujf7owuxupLzV62OLp8g==', 'url': 'https://encode-public.s3.amazonaws.com/2016/11/01/f4177160-8306-472c-8797-dcba5f3fed13/ENCFF106JKC.bigBed', 'file_size': 4383818}	/biosample-types/cell_line_EFO_0007112/
